date,time,lat,lon,depth,mag
1994/06/18, 03:25:15.83,-42.963,171.658,13.6,7.1
1994/07/13, 02:35:56.02,-16.62,167.518,33,7.3
1994/07/21, 18:36:31.74,42.34,132.865,471.4,7.3
1994/09/01, 15:15:53.08,40.402,-125.68,10,7
1994/10/04, 13:22:55.84,43.773,147.321,14,8.1
1994/10/09, 07:55:39.58,43.905,147.916,33,7.1
1994/11/14, 19:15:30.66,13.525,121.067,31.5,7.1
1994/12/28, 12:19:23.03,40.525,143.419,26.5,7.5
1995/02/05, 22:51:05.14,-37.759,178.752,21.1,7.5
1995/03/19, 23:53:14.92,-4.183,135.109,33,7.1
1995/04/07, 22:06:56.89,-15.199,-173.529,21.2,8
1995/04/21, 00:30:10.82,11.925,125.564,17.4,7.2
1995/04/21, 00:34:46.09,12.059,125.58,20.7,7.3
1995/05/05, 03:53:45.05,12.626,125.297,16,7
1995/05/16, 20:12:44.22,-23.008,169.9,20.2,7.7
1995/05/27, 13:03:52.65,52.629,142.827,11,7.5
1995/07/03, 19:50:50.62,-29.211,-177.589,35.3,7.2
1995/07/11, 21:46:39.78,21.966,99.196,12.5,7.1
1995/07/30, 05:11:23.63,-23.34,-70.294,45.6,7.3
1995/08/16, 10:27:28.63,-5.799,154.178,30.1,7.7
1995/08/16, 23:10:23.98,-5.771,154.347,33,7.2
1995/08/23, 07:06:02.76,18.856,145.218,594.9,7.1
1995/09/14, 14:04:31.43,16.779,-98.597,23,7.4
1995/10/03, 01:51:23.90,-2.75,-77.881,24.4,7
1995/10/09, 15:35:53.91,19.055,-104.205,33,8
1995/10/18, 10:37:26.38,27.929,130.175,28.4,7.1
1995/10/21, 02:38:57.12,16.84,-93.469,159.3,7.2
1995/11/22, 04:15:11.94,28.826,34.799,10,7.2
1995/12/03, 18:01:08.99,44.663,149.3,33,7.9
1995/12/25, 04:43:24.46,-6.903,129.151,141.9,7.1
1996/01/01, 08:05:10.83,0.729,119.931,24,7.9
1996/02/07, 21:36:46.30,45.324,149.892,42.6,7.2
1996/02/17, 05:59:30.55,-0.891,136.952,33,8.2
1996/02/21, 12:51:01.30,-9.593,-79.587,10,7.5
1996/02/25, 03:08:15.87,15.978,-98.07,21.1,7.1
1996/04/16, 00:30:54.67,-24.061,-177.036,110.9,7.2
1996/04/29, 14:40:41.09,-6.518,154.999,44,7.2
1996/06/02, 02:52:09.55,10.797,-42.254,10,7
1996/06/10, 04:03:35.48,51.564,-177.632,33,7.9
1996/06/10, 15:24:56.00,51.478,-176.847,26.3,7.3
1996/06/11, 18:22:55.73,12.614,125.154,33,7.1
1996/06/17, 11:22:18.54,-7.137,122.589,587.3,7.9
1996/06/21, 13:57:10.02,51.568,159.119,20,7
1996/07/22, 14:19:35.77,1,120.45,33,7
1996/08/05, 22:38:22.09,-20.69,-178.31,550.2,7.4
1996/10/19, 14:44:40.79,31.885,131.468,22,7
1996/11/12, 16:59:44.03,-14.993,-75.675,33,7.7
1997/01/11, 20:28:26.02,18.219,-102.756,33,7.2
1997/01/23, 02:15:22.97,-21.999,-65.719,276.2,7.1
1997/02/27, 21:08:02.36,29.976,68.208,33,7.1
1997/04/21, 12:02:26.43,-12.584,166.676,33,7.8
1997/05/10, 07:57:29.72,33.825,59.809,10,7.3
1997/05/25, 23:22:33.19,-32.115,179.791,332.7,7.1
1997/07/09, 19:24:13.17,10.598,-63.486,19.9,7
