year,count
1980,6
1981,6
1982,5
1983,9
1984,5
1985,11
1986,5
1987,5
1988,2
1989,4
1990,9
1991,6
1992,10
1993,11
1994,14
1995,22
1996,17
1997,16
1998,12
1999,20
2000,16
2001,15
2002,13
2003,15
2004,16
2005,11
2006,11
2007,18
2008,12
2009,17
2010,24
2011,20
2012,18
2013,19
2014,12
2015,7
